title,link
엔씨가 달라졌어요…'TL' 이어 '저니 오브 모나크'도 흥행 예고,https://n.news.naver.com/mnews/article/003/0012820710?sid=105
"조현병 환자가 환청 듣는 이유, 알고 보니… [사이언스 브런치]",https://n.news.naver.com/mnews/article/081/0003484884?sid=105
"""카카오 '브런치' 9년 여정, 함께 나눠요""",https://n.news.naver.com/mnews/article/648/0000029512?sid=105
"IT업계, AI 서비스 유료화에 속도 낸다",https://n.news.naver.com/mnews/article/088/0000908002?sid=105
“죽으면 물어줄게요”…음식점 수족관 건드리는 아이들 부모가 한 말 [e글e글],https://n.news.naver.com/mnews/article/020/0003590718?sid=105
의대교수들 “정부의 휴학 승인 거부 지시는 반헌법적”,https://n.news.naver.com/mnews/article/366/0001021954?sid=105
기네스 기록 경신한 '중국 드론쇼' 무서운 이유[우주이야기],https://n.news.naver.com/mnews/article/018/0005851094?sid=105
"개인정보위, PbD 시범인증제 확대…중국산 IP캠 해킹 차단 효과 주목",https://n.news.naver.com/mnews/article/421/0007825544?sid=105
"“자전거, 알고보면 한강 전용?” 시내만 들어가면 ‘민폐’…어디서 타라고 [지구, 뭐래?]",https://n.news.naver.com/mnews/article/016/0002370312?sid=105
"의대 교수들 ""대통령실·교육부 휴학 승인거부 지시는 반헌법적""",https://n.news.naver.com/mnews/article/421/0007825536?sid=105
